C0000100,y_true,duration,event,max_partial_hazard,mean_partial_hazard,n_intervals,prediction_matched_base_rate,correct_matched_base_rate
27501,1,9.0,1,0.9490991863842373,0.9311911903335435,5,0,False
27802,1,7.0,1,3.2434631506566225,2.3449131482437053,4,1,True
27803,0,19.0,0,0.9741922721556385,0.9239297240333666,10,0,True
28201,1,7.0,1,2.7247238066736927,1.9033969026457667,4,1,True
28202,0,21.0,0,1.9847154854221367,1.298373688744402,11,1,False
28804,1,15.0,1,1.294690142170639,1.010102717587435,8,1,True
29002,0,21.0,0,0.9900341707734517,0.8351588857998447,11,0,True
29201,0,21.0,0,1.311128912284958,1.0746135280614444,11,1,False
29701,1,3.0,1,2.0669572895454493,1.5121740935916752,2,1,True
31201,1,9.0,1,1.8053741337950429,1.6115450233620252,5,1,True
34002,0,21.0,0,1.1525097191426688,0.8856119439024226,11,0,True
34701,0,19.0,0,1.133363758356008,1.0891253631718805,10,0,True
34702,0,17.0,0,2.6777319484524993,2.30517998546698,9,1,False
35402,1,13.0,1,1.0273002722619706,0.97746840747439,7,0,False
37103,0,21.0,0,0.9408792874652048,0.9125375950962045,11,0,True
37403,1,3.0,1,2.013716940556004,1.4732237597445137,2,1,True
38503,1,15.0,1,1.3060010746588875,1.0189273801632024,8,1,True
38801,1,3.0,1,6.521247077773538,3.9235577341866534,2,1,True
38802,1,13.0,1,1.7563882194277698,1.674034190554416,7,1,True
38803,1,15.0,1,1.095510498924609,0.9305266110791318,8,0,False
39002,1,7.0,1,1.1276924976083609,1.1276924976083609,4,0,False
39003,1,9.0,1,0.9573908976379011,0.9573908976379011,5,0,False
39004,1,19.0,1,0.944812518177062,0.9231618044975077,10,0,False
40101,0,21.0,0,1.8370568738768258,1.7157940592625565,11,1,False
40201,0,19.0,0,0.6526029946278536,0.5457091152924036,10,0,True
40502,1,9.0,1,2.7165918893398864,1.2639866956830104,5,1,True
41402,1,3.0,1,3.8543446824750895,2.3854944772995834,2,1,True
42701,0,19.0,0,1.098771339809687,0.9340930444358332,10,0,True
43701,0,19.0,0,1.1094889284494491,0.8592441548472202,10,0,True
43801,1,5.0,1,1.2239152170937417,1.1215363019021265,3,1,True
43902,1,13.0,1,3.580584781479695,1.3354733265347076,7,1,True
44401,1,7.0,1,1.707969238593903,1.5061857782626251,4,1,True
44601,0,19.0,0,0.8930334983582616,0.8190254834556608,10,0,True
44902,1,19.0,1,4.9424548304949365,1.5388493902512999,10,1,True
45201,1,11.0,1,1.1756755461696746,0.9354857041928332,6,0,False
45501,1,7.0,1,0.9490991863842373,0.9490991863842373,4,0,False
45502,1,11.0,1,1.1654933288738096,1.1654933288738096,6,0,False
45801,1,11.0,1,0.9408792874652048,0.9408792874652048,6,0,False
45901,1,7.0,1,1.1432652788340276,1.080707333715086,4,0,False
45903,1,11.0,1,1.1734918917242352,1.0977775343914378,6,0,False
46701,1,5.0,1,0.8316618805358587,0.8316618805358585,3,0,False
47201,0,21.0,0,1.7357181997264928,1.100159075249199,11,1,False
47601,1,7.0,1,1.4064907368370587,1.3295294471396344,4,1,True
47602,1,11.0,1,1.249485832695874,1.249485832695874,6,1,True
48502,0,21.0,0,1.133363758356008,1.0838833537113748,11,0,True
